City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nuuk,64.1835,-51.7216,5.34,65,75,1.03,GL,1682004270
1,avarua,-21.2078,-159.775,24.03,73,75,5.66,CK,1682004270
2,grytviken,-54.2811,-36.5092,1.83,99,100,0.75,GS,1682004271
3,dryden,49.7833,-92.7503,0.16,43,100,6.17,CA,1682004271
4,khvansar,33.2205,50.315,16.75,27,90,2.24,IR,1682004271
5,nadi,-17.8,177.4167,24.0,94,20,2.06,FJ,1682004272
6,fortuna,40.5982,-124.1573,7.77,85,55,2.24,US,1682004272
7,bilimbay,56.9689,59.8149,5.38,77,27,1.36,RU,1682004273
8,yellowknife,62.456,-114.3525,0.31,55,0,2.57,CA,1682004109
9,udachny,66.4167,112.4,-16.0,100,82,1.45,RU,1682004273
10,limon,10.0,-83.0333,30.59,65,75,2.06,CR,1682004162
11,albany,42.6001,-73.9662,11.13,53,8,0.89,US,1682004186
12,ust-nera,64.5667,143.2,-8.55,97,100,3.47,RU,1682004275
13,papao,-17.75,-149.55,26.82,81,100,9.0,PF,1682004275
14,hanzhong,33.0728,107.0303,17.55,92,100,1.22,CN,1682004275
15,cururupu,-1.8283,-44.8683,29.1,76,79,0.79,BR,1682004276
16,adamstown,-25.066,-130.1015,24.25,78,100,3.11,PN,1682004276
17,port-aux-francais,-49.35,70.2167,5.88,82,100,13.9,TF,1682004277
18,mount gambier,-37.8333,140.7667,13.65,95,98,1.55,AU,1682004277
19,salalah,17.0151,54.0924,29.05,70,20,4.63,OM,1682004278
20,pemangkat,1.1667,108.9667,26.88,77,75,1.74,ID,1682004278
21,bilibino,68.0546,166.4372,-11.51,91,14,1.7,RU,1682004279
22,iqaluit,63.7506,-68.5145,-4.15,79,100,4.63,CA,1682004280
23,natal,-5.795,-35.2094,31.36,66,40,5.14,BR,1682004227
24,dudinka,69.4058,86.1778,-12.43,97,99,2.8,RU,1682004282
25,san luis,-33.295,-66.3356,23.74,29,0,5.75,AR,1682004118
26,waitangi,-43.9535,-176.5597,16.01,95,95,2.68,NZ,1682004192
27,sao vicente,-23.9631,-46.3919,25.1,44,0,4.12,BR,1682004284
28,blackmans bay,-43.0167,147.3167,15.07,77,100,2.9,AU,1682004285
29,hawaiian paradise park,19.5933,-154.9731,20.57,89,0,0.0,US,1682004285
30,roma,43.2128,-75.4557,9.42,52,0,2.57,US,1682004286
31,anjangaon,21.1631,77.3094,32.81,24,94,2.59,IN,1682004286
32,vorgashor,67.5833,63.95,-0.61,95,100,5.19,RU,1682004287
33,hasaki,35.7333,140.8333,19.22,82,4,11.29,JP,1682004287
34,tiksi,71.6872,128.8694,-21.54,100,100,1.66,RU,1682004287
35,gadzhiyevo,69.2551,33.3362,2.06,99,99,6.5,RU,1682004288
36,namibe,-15.1961,12.1522,27.89,68,45,4.26,AO,1682004288
37,kapuskasing,49.4169,-82.4331,-0.95,51,20,1.54,CA,1682004263
38,graaff-reinet,-32.2522,24.5308,20.51,45,100,10.46,ZA,1682004288
39,bodo,67.28,14.405,7.02,94,75,9.77,NO,1682004288
40,mili,6.0815,171.735,27.73,78,100,4.27,MH,1682004289
41,utrik,11.2278,169.8474,26.21,79,100,7.43,MH,1682004289
42,margaret river,-33.95,115.0667,14.32,63,0,2.76,AU,1682004289
43,stanley,54.868,-1.6985,12.38,67,20,7.2,GB,1682004289
44,saint-philippe,-21.3585,55.7679,26.77,85,43,5.8,RE,1682004290
45,port elizabeth,-33.918,25.5701,19.16,67,20,17.49,ZA,1682004290
46,atafu village,-8.5421,-172.5159,28.08,74,71,0.58,TK,1682004290
47,dwarka,22.2394,68.9678,27.3,72,5,6.39,IN,1682004290
48,kollam,8.8833,76.6,28.18,79,14,2.74,IN,1682003991
49,concordia,-31.393,-58.0209,18.04,48,20,0.51,AR,1682004291
50,vedene,43.9833,4.9,20.3,56,75,5.14,FR,1682004291
51,napier,-39.4833,176.9167,14.6,95,100,1.88,NZ,1682004291
52,payson,40.0444,-111.7321,5.78,44,20,4.92,US,1682004291
53,haiku-pauwela,20.9219,-156.3051,21.69,90,100,0.89,US,1682004292
54,aleksandrovsk,59.158,57.5624,6.56,10,93,1.93,RU,1682004292
